,pixel count,update rate,iterations,kernel size,time rate,detection rate
276,11,10,2,13,68.62764024734497,38.63298662704309
277,11,10,2,15,69.84800696372986,31.352154531946507
278,11,10,2,17,71.95624017715454,26.498266468548785
279,11,10,2,19,76.71446442604065,10.698365527488855
280,11,15,1,7,37.98844265937805,6.33977216443784
281,11,15,1,9,38.66754221916199,19.61367013372957
282,11,15,1,11,47.24990272521973,36.20604259534423
283,11,15,1,13,64.92260479927063,52.30312035661218
284,11,15,1,15,66.23019742965698,51.21347201584943
285,11,15,1,17,66.6417670249939,52.9470034670629
286,11,15,1,19,68.98815083503723,51.312530955918774
287,11,15,2,7,38.33522367477417,51.6097077761268
288,11,15,2,9,40.05014681816101,52.550767706785535
289,11,15,2,11,61.79645562171936,45.91381872213967
290,11,15,2,13,65.78789687156677,38.335809806835066
291,11,15,2,15,66.52439141273499,31.203566121842496
292,11,15,2,17,69.10543441772461,26.54779593858346
293,11,15,2,19,73.62505674362183,10.698365527488855
294,11,20,1,7,36.52526259422302,6.438831104507182
295,11,20,1,9,37.2346076965332,20.307082714214957
296,11,20,1,11,45.18360471725464,33.53145121347202
297,11,20,1,13,63.633567333221436,53.04606240713225
298,11,20,1,15,64.94552564620972,55.473006438831106
299,11,20,1,17,65.34435749053955,53.14512134720159
300,11,20,1,19,67.59098601341248,51.21347201584943
301,11,20,2,7,36.77001118659973,51.461119366022785
302,11,20,2,9,38.882817029953,52.69935611688955
303,11,20,2,11,60.87119174003601,45.81475978207033
304,11,20,2,13,64.15661692619324,38.187221396731054
305,11,20,2,15,64.76488471031189,31.154036651807825
306,11,20,2,17,67.96064066886902,26.54779593858346
307,11,20,2,19,72.0612256526947,10.698365527488855
308,11,25,1,7,35.57692193984985,5.943536404160476
309,11,25,1,9,36.131922483444214,20.950965824665676
310,11,25,1,11,43.91295123100281,33.333333333333336
311,11,25,1,13,62.350831031799316,50.56958890539871
312,11,25,1,15,64.1387984752655,53.24418028727093
313,11,25,1,17,64.27560687065125,52.05547300643883
314,11,25,1,19,66.65015697479248,50.61911837543338
315,11,25,2,7,35.84674954414368,49.33135215453195
316,11,25,2,9,37.8321259021759,51.75829618623081
317,11,25,2,11,59.433074951171875,45.76523031203566
318,11,25,2,13,64.14968609809875,38.236750866765725
319,11,25,2,15,64.0824921131134,31.054977711738484
320,11,25,2,17,66.48592495918274,26.399207528479444
321,11,25,2,19,70.74967622756958,10.698365527488855
322,11,30,1,7,34.88022303581238,7.033184744923229
323,11,30,1,9,35.6634795665741,19.316493313521544
324,11,30,1,11,39.54147696495056,32.788509162951954
325,11,30,1,13,60.25547909736633,49.77711738484398
326,11,30,1,15,63.002012729644775,53.789004457652304
327,11,30,1,17,63.259748220443726,52.15453194650817
328,11,30,1,19,66.17846369743347,50.61911837543338
329,11,30,2,7,35.22329497337341,49.0837048043586
330,11,30,2,9,37.983713150024414,52.05547300643883
331,11,30,2,11,59.051918506622314,45.71570084200099
332,11,30,2,13,62.31766128540039,38.335809806835066
333,11,30,2,15,63.52066516876221,31.054977711738484
334,11,30,2,17,65.97156715393066,26.448736998514114
335,11,30,2,19,70.85543417930603,10.698365527488855
336,13,5,1,7,48.53381133079529,16.592372461614662
337,13,5,1,9,49.12341904640198,31.996037642397226
338,13,5,1,11,56.06596779823303,47.25111441307578
339,13,5,1,13,74.04954504966736,56.364536899455175
340,13,5,1,15,75.13041281700134,55.225359088657754
341,13,5,1,17,76.58229851722717,50.9162951956414
342,13,5,1,19,79.43187069892883,50.123823675086676
343,13,5,2,7,49.05277419090271,55.72065378900446
344,13,5,2,9,52.781333684921265,50.56958890539871
345,13,5,2,11,72.03332543373108,45.41852402179297
346,13,5,2,13,74.48762941360474,37.79098563645369
347,13,5,2,15,76.14741086959839,30.65874195146112
348,13,5,2,17,79.61537528038025,26.300148588410103
349,13,5,2,19,87.88238978385925,10.698365527488855
350,13,10,1,7,41.14050889015198,7.627538385339277
351,13,10,1,9,42.708953619003296,22.88261515601783
352,13,10,1,11,53.270384788513184,42.00099058940069
353,13,10,1,13,65.50268983840942,53.888063397721645
354,13,10,1,15,66.48432922363281,54.928182268449724
355,13,10,1,17,68.48299098014832,51.21347201584943
356,13,10,1,19,72.1225962638855,50.27241208519069
357,13,10,2,7,41.659088373184204,53.04606240713225
358,13,10,2,9,46.13740348815918,50.86676572560673
359,13,10,2,11,63.995484828948975,46.161466072313026
360,13,10,2,13,66.98671960830688,38.63298662704309
361,13,10,2,15,68.94040107727051,31.352154531946507
362,13,10,2,17,71.85476684570312,26.498266468548785
363,13,10,2,19,79.55121612548828,10.698365527488855
364,13,15,1,7,38.7524950504303,6.33977216443784
365,13,15,1,9,39.54010343551636,19.61367013372957
366,13,15,1,11,42.860742807388306,36.20604259534423
367,13,15,1,13,63.61499619483948,52.30312035661218
368,13,15,1,15,65.85107326507568,51.21347201584943
369,13,15,1,17,67.46582555770874,52.9470034670629
370,13,15,1,19,69.16404962539673,51.312530955918774
371,13,15,2,7,38.91034293174744,51.6097077761268
372,13,15,2,9,42.32439661026001,52.550767706785535
373,13,15,2,11,59.66317629814148,45.91381872213967
374,13,15,2,13,64.2788918018341,38.335809806835066
375,13,15,2,15,67.1835708618164,31.203566121842496
376,13,15,2,17,69.14543390274048,26.54779593858346
